kode_bidang,nama_bidang
SEKRETARIAT,Sekretariat
SUBBAG_UMUM,Sub Bagian Umum dan Kepegawaian
SUBBAG_KEUANGAN,Sub Bagian Keuangan dan Aset
PERIKANAN_TANGKAP,Bidang Perikanan Tangkap
PERIKANAN_BUDIDAYA,Bidang Perikanan Budidaya dan Penguatan Daya Saing
PENGELOLAAN_RUANG_LAUT,Bidang Pengelolaan Ruang Laut
PSDKP,Bidang Pengawasan Sumber Daya Kelautan dan Perikanan
UPTD_LEMPASING,UPTD Pelabuhan Perikanan Lempasing
UPTD_KALIANDA,UPTD Pelabuhan Perikanan Kalianda
UPTD_KOTA_AGUNG,UPTD Pelabuhan Perikanan Kota Agung
UPTD_LABUHAN_MARINGGAI,UPTD Pelabuhan Perikanan Labuhan Maringgai
UPTD_MUTU,UPTD Penerapan Mutu Hasil Perikanan
UPTD_BALAI_BUDIDAYA,UPTD Balai Perikanan Budidaya Air Laut dan Payau
